text,label
What grade would you give Syracuse today Dabo,3
First time so far.,4
Is Dabo gonna get the Richt treatment if he doesn’t shake things up?,3
"Come on, field goal on 1st down as time expires.",6
"I wonder how long it takes for Dabo to get that smug smirk on his face, ""I think we can afford a couple of dang stinkers, after all this winning we're used to. I promise I don't read the criticism even though I complain about it every season.""",3
Post game thread should have been up 10 minutes ago,3
Fuck espn for how many ads they ran this second half when they had that long ass rain delay to run ads,2
Get fucked dabo,1
I missed his injury what did he do? ankle?,4
"Im ready for austin, the rock, and undertaker to go in there and drop the rock bottom,  stone cold stunner, and choke slam on this whole coaching staff",2
Dabo just needs to own this disaster.,2
WOOHOOOO,6
"Tyler from Spartanburg, it’s your time to shine once again",6
I really feel awful for Syracuse QB. Hopefully he gets better fast dude is a dog,6
GG,6
"Wonder who Dabo will blame this time   Maybe he finally does the right thing and takes the blame  Eh who am I kidding, he’ll throw some walk on practice dude under the bus for not emulating Syracuses backup te well enough in practice",3
Aaaand unclench,3
Remind me why Clemson was ranked top 5 in preseason?,2
"You know, I wish more teams in the ACC tried to carry their weight. When little country schools like Clemson, who don't care about football, get the same share of the conference pie, that's a problem. That's why Cuse is trying to go to the SEC.",2
It's September 20 and Clemson effectively is out of the ACC title race,3
GG,6
i remember thinking the first half against troy was an exception but now i think the second half was,2
They should take all the post game questions from the Clemson message boards.,4
Hey Clemson that's how you make a 4th down conversion,3
It's not even the fact that we're 1-3  We look absolutely terrible,1
"Dabo is running the program to compete in yesteryears game. The game has changed and you cannot cheat the game. Look at any mid to upper echelon program. They're faster, meaner and quite frankly significantly better than our squad. The head man cannot go on National TV and whine while he's cheating the game. This season's results say much more than all the talk.",1
FATALITY,0
Could the acc send two teams to the CFP?,6
Lost in the lol Dabo of this is that Fran had them fired up and put a good plan together.,6
How is this game still on?,3
"Nice, we won",8
games back right on time bye guys,6
"Can someone ELI5/OOTL me who in the fuck ""Tyler from Spartanburg"" is?",3
"Sometimes I feel like im watching a different game. The last missed throw to Randall was kinda bad and the one to the middle over Moore was a real bad miss too but Klubnik consistently has no time to throw.  And moore has zero room to be mad about anything, dropped 2 huge plays and never gets open.",2
ESPN: Clemson might be the best team in the country! Arch Manning will win the Heisman!  Im starting to think maybe ESPN just wants clicks?,4
syracuse isnt fucking around now. saving the extra second 🤣,3
"I just want a <del>Gundy</del> Dabo, ""I'm a man"" speech after this.",4
This is the crappiest Clemson football I've seen since the end of the Bowden days,1
"Welp, who had Clemson going 1-3 to start the year? I sure as hell didn’t LOL🤣",3
You can watch us get our shit kicked in for free at 7 instead!,0
Just saw someone fall to their knees in a Cookout,4
"I'd say ""rank Syracuse you cowards"" but given how Clemson played this game I don't think it's that impressive a win.",1
Isn’t Dabo the one that said if Clemson is tired of winning they can fire him?,2
Clemson really staring 1-3 right in the eyes,3
Don’t forget - this team is not that far from 0-4  Troy had them on the ropes,2
"We should be 0-4, the Troy win was a fluke. Screw this whole team they clearly don't care about anything anymore",0
This game would be over if we just ran it both those third downs,2
Crazy to think Clemson and VT will have the same record,2
No lighting delay this team is probably 0-4 losing to Troy,1
"He was right, 1-2 isn't that bad. 1-3 is much worse",3
"What Dabo's narrative should be after the game: ""We need to start looking internally because things aren't clicking like they used to and we need to make changes and that's on me."" But that won't be his narrative.",3
It’s Dabover,1
"<h1>FACT</h1>  Clemson issue is <strong>NOT</strong> the portal, they are ranked NUMBER 7 in the team talent composite.   The issue is that they do not develop good players anymore, and the offensive game plan is comically bad.   For example, they have a higher team talent composite than A&amp;M, ND, Florida Tennessee. USC  IT IS NOT THE PORTAL the coaching is terrible",2
"Can't wait to see Dabo gaslight after this one. ""You guys are spoiled, I'm still not going to the beach!""",2
"Dabo obviously shouldn't be fired, but he should <em>absolutely</em> be under an enormous amount of pressure to make serious changes.  And if he stubbornly refuses... Then the seat's gotta start getting warm. Especially if Clemson wins up not being bowl eligible, and that's on the table after today.",2
So whats the main sports radio call in show for Clemson football?,3
can't wait for this presser,3
“what will the next narrative be from their head coach?” commentators calling Dabo out lol,3
Cade Turndaballova Uiagalelei,4
guys i think they’re gonna pass,4
3-17 on third and fourth downs. 💀,2
The post-game presser is gonna be wild.,3
I need to hear from Tyler from Spartanburg after this game,3
Lmao these commentators are not holding back😂,6
Can't wait to see the two fans that meet at the paw,3
Can't wait to hear Dabo blame everyone but Dabo.,2
Damn so Clemson stinks,1
Damn prevent defense,2
"""Dabo sucks, he was only good because of hiring decisions and recruiting.""  (There was an era where those were more important than NIL or the portal).",1
Syracuse not fucking the running the ball there ended up not mattering because Clemson is just that much of a fuckup.,0
"To be fair, a 1-3 start is WAY worse than a 1-2 start. So Dabo was right",2
I hope Klubnik picked a useful degree because at this rate he’s not going to be suiting up in the NFL,1
Cade and Arch couldn't start a community college flag football game,1
Can we please see Vizzina next game? Cade just ain't it  What's the worst that can happen? Cade gets his feelings hurt and doesn't play well if he comes back in?  He ain't playing well now,2
Dabo is now concentrating on his post game presser.,2
EXTEND FRAN BROWN,4
I understand wanting to give him reps but just run the damn ball,2
"I hope the ""I woke up feeling the cheesiest, coach!"" commercial never goes away. It's been a daily vocal stim for years at this point.",2
"Klubnik is caught in that great area where he is struggling with accuracy, and then his receivers are dropping it when he is actually accurate.",2
"""fuck it someone has to be down there"" -Clemson on 3rd and 4th downs",1
Clemson catching an L on their bye week from the Dabo presser where he blames the culture in America and toxic expectations for why this is happening,2
“Well dagnabbit I guess I’ll just take my lil’ ol’ self somewhere else. I won’t be sittin’ on no lil’ ol’ beach goshdarnit. I’ll take myself to some other school to hoodwink them with my antiquated approach in the new world of college football.”,1
Couldn't happen to a more unlikeable coach.,1
And this is why preseason rankings are a joke.,1
"WWE on ESPN is weird, y’all",3
"This team is ass, bro",1
God I love these serious legit sports commentators having to hype silly fake wrasslin,3
"We really need to move on from Cade. Seasons over, he isn’t putting points up. Get some one some reps for next season",2
Run the damn clock to end the game already.,2
Clemson is still holding like crazy.,2
Tigernet probably about to break,2
Northeast needs a major college team. There are some potential contenders but Cuse is the only one with tradition. I hope this is the start of their climb. Hopefully they have rich boosters.,4
This whole game has been Cade having pressure in his face and him heaving the ball up.,2
"Big if, but if this beating serves as a wake-up call for Clemson, we'd owe Fran Brown twice.",3
Put Clemson out of their misery already. It’s been 5 1/2 hours of putrid football on their end.,1
Well Clemson fans see you at 7:00 for our turn to get killed,1
🟧🟧🟧,4
Why can’t we have a win that doesn’t get laughed off afterwards,2
Can we use the tariff money to pay for Dabos buyout?,1
Why is God not orchestrating a Clemson comeback?,3
"Prediction: Billy Napier is fired in the locker room after getting demolished by Miami. Florida boosters call Clemson boosters, pay Dabo’s buyout clause, and Dabo is your next Florida head coach.",4
Dabo’s team has given up on him.,1
I will 100% bark at my boss on a Saturday.,4
Lmao at Clemson doing both of their keys to the game and still getting wallopped,3
Alright i wanna see three passes here syracuse,6
"Dabo, hopefully this is the ass kicking needed to get on with the times",1
"What will Dabo's excuses be post-game? It isn't his fault, we do know that.",1
Kinda sad to see death valley turn into just another place to play,2
"Serious question, wasn't Klubnik the preseason heisman favorite?",4
This game film is going to flag Dabo’s Covenant Eyes with the pounding Cuse gave them,3
John Cena vs Bork Laser. What is this 2010,3
that was a terrible play call on a down and distance you arent going to pick up anyway.,1
Trevor Lawrence legacy grows by the day,4
Why would you throw it there? The hell???,0
"There are at least 30 other quarterbacks I would take before Cade Klubnik, and I am 100% under-estimating that number. He is actually awful. DJU was bad at *some* points, mostly because he let mental stuff get to him. Also he did not have a supporting cast and coaches to help him be his best. Cade isn't bad, he's actually awful.",0
If Syracuse wins every team in America should be forced to change their name to a color. Oklahoma state chartreuse has a good ring to it,1
I feel like I’ve been watching this game all day,3
"Clemson’s talent issue isn’t all about the portal  There’s been a serious lack of development. Adding from the portal can mitigate some of that but the OL, WR (outside of Wesco) and Klubnik are all worse than last year.",3
Can’t believe how empty that stadium is,1
0-4 on 4th down in 2nd half lol,2
I know there was a long delay but this being a 5.5 hour upset makes me a little bit happier,2
Crazy Klubnik was a heisman favorite on a preseason #4 team and now might not even get drafted.,3
Oh wow. They called it this time.,1
I’m convinced the Syracuse OC got drunk during the delay because wtf is he doing…,2
HEY TYLER,3
Does Syracuse now have D line and O line who can hang with the elite physical teams now? This was always their problem.,1
I think we've lost as many games at home between last year and now than we did the previous 10 years,2
Fran said fuck prevent...,2
I guess we’re the new Tigers now,3
Tyler from Spartanburg was fake and set up by Clemson to get the fans riled up. They’re gonna have to dig DEEP to save this season. They need 5 more wins and it looks like they can’t even pull that off,1
Mike Gundy and his brother Dabo aren't doing so well.,3
Klubnik sending out so many hospital balls those recievers going to get ptsd,0
Punt it Dabo! Punting is winning!,6
If your QB has to throw 60 times in game… you’re gonna have a bad time,2
Hes dead Jim.,1
that'll do it,4
D.A.R.T,4
Jesus christ Cade lol,4
Cade probably would’ve been a decent draft pick had he left,4
"GG Clemson Bros, good luck the rest of the season, always welcome to come hangout in our game threads.",4
"To be fair, it’s not very hard to give Garrett Riley fits",2
People really tried to hype Arch Manning and Cade Klubnik as Heisman candidates lol,2
"Dabo's going to be at the podium whining about 2016 until kickoff next week, isn't he?",3
Lmao they're ripping Dabo,3
“Never been able to settle in.” Well yeah because Cade sucks. I really don’t understand why Dabo refuses to put in the back up. He did the same shit with DJ U.,1
"2018 Dabo: ""The BEST Is Yet to Come""  Well, we're still waiting on that coach",2
"If Cade Klubnik is the starter next game, Dabo has officially given up and is just laughing all the way to the bank knowing he's going to get his money regardless of the results of this season. Cade is worse now than DJ U was (with a much worse OC too) and I will not be gaslit into pretending otherwise.",1
60 attempts... with 16 carries by your running back.... wild,2
"Cade really just chucks it over and over. I can’t remember watching another QB that felt less accurate in his throws. Like, it seems like literally half of them are uncatchable out of bounds.",1
Randall averaged 8.1 yards a carry but hey throw it 60 times and only run it 16,2
Does this make Clemson the 2024 FSU of 2025? 🤔,2
When does the christmas tree show up outside Dabos house,2
klubnik is cheeeeeeks damn,1
Luckily it doesn't matter what Syracuse does because Clemson sucks so much,1
Syracuse is not running to give the Clemson Board more reasons…,3
Only saw before the rain delay. Wiiild.,4
Walhburg on a Bruce Willis run with the b tier movies before he retires,2
Now too many teams are ranked higher because of a bad Clemson team that is 1-3 lol,3
Both teams would be in the locker room if Syracuse had any semblance of clock management,1
"Why doesn’t Clemson bring back tlaw, are they stupid?",2
60 pass attempts is wild,4
There’s only gonna be like 4 people left to meet at the paw lol,3
[deleted],4
Why is it so empty in the stadium?,2
Has Clemson replaced Texas as annual orange preseason top 10 team to fall out by the end of September?,2
The dabo fever dream ends,2
Sad lil Dabo,3
pretty disastrous start to clemsons season,1
Go for it.,6
Why is Dabo so scared to always do what needs to be done with the personnel? When is someone going to tell him God doesn't have a favorite football team?,1
Most coaches would take the post game a chance to apologize to the fanbase. Dabos head is so far up his own butt he will just throw people under the bus,1
"Watson was a dud, TLaw looks like a dud and now Klubnik looks like he was all hype. Clemson QBs on my perpetual do not draft list",2
LETS GOOOOO,8
Now why are you throwing that?,2
Why does every pass take 3-4 seconds to develop,1
"Did the commentator already forgot about the interception? It was essentially a turnover on downs, but still.",1
Clubnik not doing well under pressure it seems lol,2
Can we even do deep passing plays anymore or do they all have to be line of scrimmage?,1
"Well, at least we still have enough prestige that our opponents will rush the field (when playing at our stadium at least)",3
Were so bad I would take Cole 3 and out stoudt right now,4
LMAO,4
<h1>1 was like .. dafuq?</h1>,2
"If Clemson continues to start Klubnik moving forward, Dabo might lose the locker room.",2
God I hope there’s 1 brave media soul who asks Dabo the hard question,3
Holy shit!!! Klubnik looks total fucking ass.,1
Defensive masterclass,8
Can't wait to hear Dabo's comments after this one,2
the worst thing to happen so far,1
Wow. Announcer is going hard on poor Dabo,6
Woof clemson.,3
Kinda feel for Clemson fans. They know things aren’t going in the right direction but they can’t call for a coaching change.,2
Good lord in heaven Clemson is ass,1
Syracuse &gt;&gt;&gt; LSU,4
Ha ha clemson suck it!  <em>You have your turn on us tonight</em>,2
Shoutout to #1 preseason best team in America Clemson for going 1-3,1
And that's pretty much it folks. The fall of Clemson needs to be studied. Dabo might actually get his wish.,1
"Few things in sports are more demoralizing as playing on a bad football team, except being a bad football team that begins a program tailspin",1
Oh god the 1/8th of the fans left are getting out of here,0
Not the best throw but i dont think anyone was really open anyway. Maybe the slant from the right but i think the lb was picking it up.,2
In Fran we trust!,4
"What happened to Cade? He looks like he took a few hits that broke his confidence.<br/> He has nervous feet, like a QB who was thrown to the wolves.",2
Over/under number of Clemson players headed to the portal,2
Garrett riley even looked disgusted,3
"Hell yeah, Orange Stanford!",4
So is this rock bottom for Dabo?,2
WTF was that throw.,1
Maybe the big ten is on to something about punting. This whole going for it on 4th down isn’t working out,2
Dabo better call thunder down from heaven in this post conference talk,1
Nixon at speed is a goddamn bulldozer,6
Heh,13
I blame this on Ian Scheffilen,2
"Nah I’m not paying 30 for that espn, fuck off",1
How is the world is this game still going on????,1
I love the barking commercial,4
"How long do programs gotta keep guys like Gundy and Dabo around? Like, thanks for everything but also how long do you let the guy who built the program actually tear it back down?",2
Dabo a fraud,1
Waiting for FSU - Clemson tickets to drop so I can go see a good team play in South Carolina for once,1
Clemson has a couple easy games coming up at least. No way they lose to UNC or BC,4
Catch if sapp doesnt just stop running for some reason,3
Honestly Cade just sails the ball in crucial moments,2
"Idk if I’m crazy or just cynical but it feels like the QB draft class for the next couple years are in a terrible, terrible position. Like backup NFL material at best",1
I am very happy with this,6
Come on get a safety!,4
Keys to victory lol,6
"Sharpen the axe Neff, theres changes afoot!",4
This is a crazy timeline,4
Wesco will transfer to LSU,4
Who do Clemson fans have in mind for their next coach?,3
At least Randall was gonna get tackled short so i cant be that mad at it. I dont know how theres that many people coming through unblocked that quick,2
Damn straight buns,1
Klubnik has thrown 60 passes,4
lol what was that,1
(Cries) “Go Toros…”,4
This is like watching the last 3 minutes of a basketball game,4
I know this is completely not the right place to bring this up but I cut my ear (tragus). No idea how and it's bleeding like when you cut yourself shaving. I'm almost considering going to urgent care lol.,4
Iv been watching Michigan and Nebraska. Has Dabo and Clemson been just as bad this half as they were in the first? I mean obviously the score.. but how’s it been? Iv missed so much shit talking,2
Cade Klubnik has proven he has the grit to lead a team to a tenacious comeback against   <em>checks notes</em>  Troy University.,2
Defense is back to being psycho killers. Offense went back to 1957.,1
Much needed win against a solid opponent. Guaranteed Iowa is already trying to buy our punter. Chiles is showing tons of progress.,6
"It’s only been two games, but this team looks better so far than the 2023 team",8
QB ✅  OL ✅  TE ✅  Defense ✅✅✅  RB ❓❓❓,4
At least we’re not Florida,3
No,2
WE beat Liberty,6
Tired of being the spooky team that gives the big school a scare. Glad we’re finally getting some of those statement wins.  Praying this week goes like the last time #18 USF faced off against #5.,4
"The Matt Patricia experiment seems to be going well, only giving up 7 total points in 2 games.",3
[removed],4
We played a stinker of a game on offense and still won 34-0. Could be worse.,6
The second and thrid string played well when we put them in.,2
After many years of disappointments we seem to have finally figured out how to win one score games.,2
"They may not have been the best opponents, but through 2 weeks Dylan Raiola has thrown for 6 TDs with 0 interceptions and maintained a 78% completion percentage",6
"Texas Tech, our defense has a pulse!",4
Bama: responded to adversity  FSU: kept chugging,4
We spend to win,6
not really. pass.,3
Baylor managed to play the most Baylor game for the second week in a row but this time actually won somehow,4
Ohio State: 70 points.  Iowa: 70 forward passing yards.,1
LESSSSSSGOOOOOOOOO  Destroyed Gardner-Webb as we damn well should’ve and SP+ has us beating Clemson this weekend. Go Jackets,8
"We’re 2 and 0 and look like an actual football team again. I still have no expectations, and we could easily lose the rest of them. I have had fun so far though and that counts.",6
Our young QB and defense look great.,6
Covered the spread against BYE,6
"Not only did we give kU hopes of victory just to crush their soul, our fans showed out and made it clear we never stopped hating kansas.  This game was a showcase example of why college football thrives on tradition and passion. Hopefully AD’s across the country took notice.",8
"First shutout since 2009. Most amount of yards in a single game since Bo was fired. Backup QB had more yards in just over a quarter than Iowa’s starting QB has all season. Student section was there an hour before the game. Student section was there throughout the beat down. Big time recruits loved the performance and atmosphere.  Best weekend we’ve had in a long, long time.",8
"Rough start, but then looked pretty solid.  Still nervous moving into the teeth of the schedule, but they've already doubled the win total from last year.",6
Run game good,6
"Two solid wins. Things to improve on, sure, but we won the games we had to thus far and looked competent doing so. No about the next four before OSU…",6
"Texas Tech, dare I say it, has a good defense. I never thought I’d see the day.",6
Chiles has thrown 5 TDs and 0 INTs. This time last year he was at 3 TDs 5 INTs,6
"It’s Grambling St. but covering a 50+ point spread is always a stretch. Save one errant throw from Sayin, things went about as perfectly as you could ask.   OU hung on to beat WVU. That’s really all I can ask for but it really felt like it should have been by more. I’m just glad we won’t start the season 0-3.",6
"The defense really controlled the game again. Not shocking against LA Tech, but after seeing the defense the last few years, it's just such an improvement it's awesome to see it.  Offense looked a lot like how I feared it would in week one. Looks like a group that hasn't spent much time playing together. I trust the leadership of the guys to lock in and get where they need to get to be successful.",6
"We didn’t lose this year!  As good as we’ve been under Kiffin, we har a nasty habit of losing our SEC opener.",6
Minnesota: We have a backup QB that's competent too!  Delaware: We didn't piss all over ourselves on national TV against a power conference school.,2
2 punt return touchdowns in a game is insane. Vicari Swain has turned into an absolute weapon. Little positive to say about the the team otherwise.,6
Played three and a half quarters against the 8th ranked team in the nation before “adversity” was too much to overcome. Still proud as hell,6
[deleted],4
Maalik Murphy looked like he was getting the hang of things. He looked a lot better against Fresno then he did against Cal.,4
"Defense was improved from Week 1, balanced running attack, and good production from receivers.  Even more importantly, Reed apparently wasn’t seriously injured.",6
The OU DL was on Michigan like a rabid mongoose from the first whistle. In the secondary Guillory had a pretty great game for a true freshman at CB.,4
"Last season, OU had 4 completed passes that went 15+ yards in the air. Mateer has 11 so far this season.",3
70-0,6
We didn’t lose this week!,6
"A Wisconsin backup QB that played with confidence and made accurate throws, even against a much worse opponent, is something I have to applaud because it’s rare.",8
"Lost to the now-14th ranked team in the nation, on the road, by a margin of a 54-yard field goal.   Most Iowa fans consider this a disaster. I think it’s not too bad. If it wasn’t ISU, and was Utah or something, maybe it would sit better with the rest of the fan base.",3
Lateef is gonna be a fucking <em>dude</em>.  I can’t tell you the last time I felt this good about our QB room.,8
15-1  Let's Fucking Go!!! 💲🌵🌯👆,8
"5 years ago, Illinois would have been in Duke’s shoes. Mistakes that take away the chance of a win  10 years ago, we wouldn’t have even had the hope of a chance  The last time we were ranked in the top 10 was for a brief amount of time in 2001.  Call us frauds, I don’t care. Illinois is ranked #9 in the country. Life is good.",6
Upgraded by “downgrading” at QB,4
Tennessee looks good so far. Aguilar looks better than nico which is a huge plus.,6
"Pitt did what they were supposed to do against inferior competition, which for Pitt, is not something that normally happens.",6
Dylan Lonergan is the truth and gives us a chance of beating any team on our schedule,6
No.,2
Finally a solid win for State. Still not a great team but there's a some life around the program for the first time in a while.,6
"Maiava looks really good. 700 yards and a 6-0 TD-INT, 70%+ completion in two games.  I understand the level of competition. But thats good.",6
Mississippi State pulled off a miracle that always happens against us and Oregon took things personally.  What makes that day better is that I'm also an Orioles fan. Can any Dodgers fans remind me what happened that night?,8
Run defense absolutely shut down our hated rival (2 yards!) in a game that ended up closer than the final score or stats make it appear.,6
Every ball Sayin threw was caught.,6
"2-0 for two straight seasons! Hasn’t happened in a while (since 2015-2016), but we just might be back  The team has learned how to lock in after multiple consecutive errors. I’d like the turnovers to just stop happening, but it’s good to see us not crashing and burning when they do.  Graham Knowles may be the best QB in the history of ever (1100+ QBR, do not ask about the sample size)",8
"Vanderbilt proved in week 1 that they can handle business against an FCS opponent the way a Power Conference Team should.  They then proved in week 2 that they can overcome a halftime deficit by making smart adjustments and staying poised...despite being on the road. Hell, the team whooped ass and still <a href=""https://www.saturdaydownsouth.com/news/college-football/virginia-tech-grounds-crew-thanks-vanderbilt-for-treatment-of-guest-locker-room/"">had the energy and respect to clean up the locker room</a> after the game.  Very interested to see how they play at South Carolina. Not necessarily expecting a win, but I'm expecting Vandy to be competitive. Clark Lea has built a culture that I cannot ignore. Love what I'm seeing so far...",6
*points to sidebar image*,6
"No, no I don’t think I will",3
"While it wasn’t pretty, we overcame adversity and our own foot shooting to win a tightly contested in-state rivalry game for the first time at home since <em>2011</em>. Give credit where it’s due, Iowa always plays us extremely close, regardless of skill differences. Survive and advance is the name of the game with ¡El Ássico!",6
We've beaten two rivals and it's not even week 3,6
If we keep running the ball like the 2nd half we can win the conference.,6
Sawyer Robertson is the best quarterback alive and people are just now catching on nationally. We have a chance in every game if he’s back there,8
2-0 and the pick six streak is extended to 22 straight seasons. Which is legitimately one of the only things i care about the team getting each year. Defense looks beastly like usual and the offense looks worlds better than they did the past few seasons.,6
"They learned. Crazy, right?   Rather than the run-run-run-punt from week 1, they let Potter throw it 42 times. Most of any Jimmy Rogers QB ever. They put up points as a result!  Washington State can never leave the Air Raid. I will die before that happens.",6
hmm well we scored at least I guess,4
"Indiana: offense didn't shoot themselves in the foot repeatedly like they did against ODU and the defense didn't allow any big plays  Army: beating a big 12 team on the road makes me feel much more optimistic for this season but also confused about what we are this year. Either way, Beat Navy!",6
We do offense now 😁,6
"We might still only win 4 games or so, but this team is far better than last year. The game winning TD gets all the press, pressure, I'm more impressed by the defense. Our defense was one of the worst in the county last year, and this year it is much better so far. That goal line stand was huge.",6
Jonah Coleman,4
"☝️ Special teams, special plays, special players",4
UConn’s defense looks like it could be a legit top 50 unit at the end of this year. They held Syracuse in check for 3/4s of that game. The constant pressure had Angeli looking lost at multiple points during the game,8
"We beat Michigan!!!! I still cannot believe it!! After the brutal last 2 years, THIS was the shot in the arm WE all needed, fans too. Boomer!",8
"This has been the best start for my two main teams since I can remember. Does anyone else have teams that in back to back weeks, all of college football talked about was firing the coaches they upset?",4
The only ones associated with VT that deserve applause are the fans that showed up at Lane stadium and supported the team. This team doesn’t deserve you.,2
[Post redacted],4
Our true freshman QB is pretty dang good.  Our offensive line on the other hand…,3
"No, I don’t think I will.",2
We are the only triangle school that’s undefeated,6
"2-0, let’s go!!!",8
MORE COWBELLS!!!!!,6
"We blew out a team that we were expected to blow out. Offense looked more settled. Cig played a dangerous game keeping the starters in, but I get wanting them to get more live reps after how week 1 went.",4
USC: Ja'kobi Lane,4
"The Stroke is NOT the word, I will not clap",4
"In so many years, we would accept being down like that with 6 mins left in the fourth as our fate. But we came back to win. So much fight.   And our special teams don't suck!",6
You have that other team hope and then snatched it away. Well done,6
First win against an FBS team!  Nice to see the program popping up on people's radars for a sec,6
We beat up on our little bros for the first time in history.,8
They looked terrible and still won 34-0.,6
Toledo's rushing attack brought back memories of watching Kareem Hunt steamroll the MAC. And the defense absolutely locked down an extremely high-powered offenses in WKU. Emmanuel McNeil-Warren is going to continue the tradition of DBs being drafted very high.,8
"I’m happy we’re trending up. I don’t know about Brennan, but he’s used to do a lot with little so I guess Arizona is a good spot",6
We're making progress. QB is much better than last year (not a high bar). Play calling is much better. Defense looks pretty stout.   We need a lot of work on the O line. Our schedule is still going to kill us. But I see signs of life overall which is nice.,6
"Through two games, we have scored 108 points, the second most for our school ever, with 1913 being the year with the most.   I have NO idea if we are good or not, but this team is making fun facts.",6
Having Dana Holgorsen has transformed this team. I know it was just Akron but I am struggling to remember since I started watching Husker football back in the late 00’s a more thorough beat down in all 3 phases. Just destroyed them and it was so refreshing to see.,6
3 good quarters.  I beau-lieve.,6
We doubled last year's win total.  How many teams have done that already?,6
"Arkansas offense looks deadly, I think Taylen Green will be the best QB in the sec.",4
Did what we were supposed to do against an FCS team. Played into the 4th string with no drop off.,6
Running back is very deep.,6
