"timestamp","Author","Comment"
"2:26:25","Graduationdabest","It’s either mad usc fans or rivaling teams fans"
"2:26:28","New World Sports Tv","Illinois winning this game"
"2:26:40","timothy couto","im gonna name my next dog illini"
"2:26:41","Juan Juan","stupid SC on not wasting clock earlier Lmao"
"2:26:43","cosmiccube","should have let him score"
"2:26:44","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","USC IS TRASH"
"2:26:49","D Cash","bully ball"
"2:26:54","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","EASY"
"2:26:55","Kowboykool","Move that ball "
"2:27:01","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","EASY WIN FOR ILLINOIS"
"2:27:01","2022Bobber","@cosmiccube EXACTLY"
"2:27:02","el mero mero","illinois getting so lucky"
"2:27:17","SPONTANEOUS ORACLE","so Illinois got annihilated by Indiana and USC can barely beat The Illini?"
"2:27:20","Juan Juan","that USC possession would seal the game Lmao"
"2:27:21","Graduationdabest","usc scored way too early"
"2:27:33","Heather Whatever","Hey announcer. Whatever"
"2:27:34","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","Indiana got lucky"
"2:27:36","James Monroe","can Illini kick under pressure?"
"2:27:45","Juan Juan","bad coaching. only cares about offense lmao"
"2:27:50","Mike Fort","Well one of my games is over."
"2:21:25","Graduationdabest","But they’re ranked"
"2:21:26","cosmiccube","usc jv defense pathetic"
"2:21:28","D Cash","GO GET THE FG!!"
"2:21:29","live_life2tha_fullest","lmao"
"2:21:39","Kowboykool","Please "
"2:21:43","live_life2tha_fullest","Shut it"
"2:21:47","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","COME ON ILLINOIS"
"2:21:50","live_life2tha_fullest","lmao'"
"2:21:51","Mike Fort","Why not call a TO here"
"2:21:53","JRFrancisco20088","USC will not stop Illinois. Illinois has stopped themselves. "
"2:22:04","eric bassham","USC would be the overrated team"
"2:22:05","Mike Fort","3"
"2:22:17","live_life2tha_fullest","The mouse got the shoe and mouse trap"
"2:22:23","D Cash","not tryna leave USC time"
"2:22:24","New World Sports Tv","USC defense is ass Illinois can still win this game"
"2:22:29","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","Illinois definitely wins"
"2:22:30","Mito","I think illinois is going to clutch this"
"2:22:32","D Cash","GOOD RUN BOY!"
"2:22:41","Graduationdabest","Illinois kicker needs to lock in"
"2:22:49","cosmiccube","usc should let them score"
"2:22:51","eric bassham","USC can't stop anything.."
"2:22:57","Mito","USC is the epitome of mid"
"2:23:03","Kowboykool","Why not let this rb run at the goal line not the other bum "
"2:23:10","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","BOTH OF THESE TEAMS ARE OVERRATED"
"2:23:11","eric bassham","nice free timeout"
"2:23:20","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","UTAH AND ARIZONA STATE SHOULD BE RANKED INSTEAD"
"2:23:30","D Cash","FAKE AHH INJURY"
"2:23:37","Graduationdabest","Utah should not be ranked after last week"
"2:23:38","live_life2tha_fullest","Stomp the mouse out"
"2:23:43","live_life2tha_fullest","lmao"
"2:23:49","Mike Fort","Utah got slapped."
"2:23:51","timothy couto","+200 int +200 fumbl +200 sack"
"2:24:16","Mito","Lollllll"
"2:24:17","Demani Stewart","USC take me back 20 yrs ago on this drive please 🙏🏽 "
"2:24:17","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","Yeah but Texas Tech is the best big 12 team by far, any big 12 team would get destroyed by them."
"2:24:19","New World Sports Tv","USC is not doing nothing in the Big Ten It's Oregon and Penn State to take"
"2:24:21","Mike Fort","ehhh I don't like this flag"
"2:24:25","Graduationdabest","PI?"
"2:24:29","D Cash","👀"
"2:24:30","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","Utah is the only SOLID team other then Texas Tech"
"2:24:34","Zack Young","oh my"
"2:24:42","live_life2tha_fullest","Illinois is like a annoying mouse"
"2:24:44","Mike Fort","THAT was PI?"
"2:24:48","Graduationdabest","Utah got spanked by tech "
"2:24:52","The Lost And Unfounds","That def PI"
"2:24:52","Taylon","😩"
"2:24:52","yves newman","Shit if USC wins this game mad respect"
"2:25:02","live_life2tha_fullest","Illinois is an annoying mouse"
"2:25:04","Mike Fort","That was weakass PI"
"2:18:55","DoKewl","why not run the clock down"
"2:18:56","Crime&Punishment TV","defense aint worth a damn and they scored too early"
"2:18:59","Mito","the 2pt play last drive was clutch"
"2:19:01","Executioner","thats a lot of time on the clock"
"2:19:02","Kowboykool","Lemon ain’t no joke 😂"
"2:19:02","OHIO STATE","maiava is a 1st round pick soon"
"2:19:02","Micah","why would illinois keep him on lemon wtf"
"2:19:03","DoKewl","they gave too much to illinois now"
"2:19:04","Zack Young","Illinois wont clutch up"
"2:19:07","GRANDPAWS MEXICANDEEZ","THOSE 🌊GULF OF AMERICA🇺🇲 PIER/🤿/🎣/🛥/&🎵VIEWS are lower then ⚰🪦. so low the Diablo made a peephole.🕳👀HAHAHA"
"2:19:09","Sorensen","2 min drill for the win?"
"2:19:11","Myles Bankhead","When life hands you lemons, you make Makai "
"2:19:11","DoKewl","illinois gonna make a FG"
"2:19:14","Saltytoad","i was a push off but its ok because there was hand fighting"
"2:19:14","GRANDPAWS MEXICANDEEZ","**DRIVE SAFE**44K FATALITIES & 2.6M INJURIES with crashers every year.😱🥵👀🌀🚙💥🚗🚑🚓"
"2:19:14","JRFrancisco20088","USC hasn't stopped Illinois all day"
"2:19:31","D Cash","omg"
"2:19:33","GRANDPAWS MEXICANDEEZ","ANYTHINGisPOSSIBLE!!!!!!! 🔊Y.T. SQUIRMYandGRUBS..(SHANE BURCAW)"
"2:19:37","GRANDPAWS MEXICANDEEZ","#0 CARLA LEITE from the Golden State Valkyries..her mexican sister LEITER likes #1 as Hydration LOL 🤫😆"
"2:19:39","GABRIEL GALVAN","Whoopsie did we just do that "
"2:19:39","GRANDPAWS MEXICANDEEZ","🎶🎶""TENDERLOVE - BUBBLES & SIR WiLL FELT""🎶🎶 👏🏾ANTHONY BUBBLES TORRES"
"2:19:43","Zack Young","crazy fumble"
"2:19:43","GRANDPAWS MEXICANDEEZ","Terremoto Anniversario de Mexico😱🫣😶‍🌫🤯🫠🫨🔊""YOUTUBE--MEXICO EARTHQUAKE 1985"" ...,.,.,.,..,.,.iyiyi"
"2:19:43","Kowboykool","It’s over Illinois choked "
"2:19:46","live_life2tha_fullest","Go USC"
"2:19:47","Graduationdabest","Illinois don’t rbs don’t know what ball security is"
"2:19:51","BIGJEFEGAMING","WELL WHOOTY DOO "
"2:19:54","GRANDPAWS MEXICANDEEZ","TELL 🇨🇦CANADA to say sorry to JEANETTE ZACARIAS ZAPATA #ChicanoPark☠withEmilanoZapataStatue #PANTERA reunion tour, hilarious👖#2 JEANTY Las Vegas Raiders 🏈💩"
"2:19:58","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","Illinois wins"
"2:19:59","Jose M Gomez","USC will make an interception and game over...lol"
"2:20:00","2022Bobber","Dude SERIOUSLY get the fk out of here with that MEHICO shit"
"2:20:01","scottintrabartolo","It ain’t over till it’s over "
"2:20:01","GRANDPAWS MEXICANDEEZ","bring back the GRANDMA McFLURRIES @ McDonald's A.S.A.P. as an official drink please thank you or I will send the D grade people for your eye exams feel me hahaha #feelsGOODtobeBeautiful"
"2:20:02","timothy couto","fg self destructing tey'll toss int usc get another td"
"2:20:07","D Cash","go get that FG"
"2:20:08","Dylan Nielsen","Lots of time left for Illinois."
"2:20:15","GRANDPAWS MEXICANDEEZ","TELL 🇨🇦CANADA to say sorry to JEANETTE ZACARIAS ZAPATA #ChicanoPark☠withEmilanoZapataStatue #PANTERA reunion tour, hilarious👖#2 JEANTY Las Vegas Raiders 🏈💩"
"2:20:25","Silky Johnson","this game is wild"
"2:20:30","Jose M Gomez","Illinois is very overrated"
"2:20:34","BIGJEFEGAMING","they gonna try field goal "
"2:20:39","OHIO STATE","2 minute drill failed ‼"
"2:20:42","letterstotheflock","GRANDPAWS shut up plz"
"2:20:45","2022Bobber","Too much time "
"2:20:45","Graduationdabest","Is altmyer like that"
"2:20:59","eric bassham","how can an unranked team be overrated"
"2:21:07","fishinwitkarlproductions","lmaooo facts "
"2:21:09","Mike Fort","This is still bad news for USC."
"2:21:15","Mike Fort","Not like they can stop Illinois."
"2:21:17","Myles Bankhead","They’re ranked lol"
"2:14:31","scottintrabartolo","Hold on to it"
"2:14:31","2022Bobber","ILL GIVING UP"
"2:15:03","SeaSawlt","ill tired"
"2:15:19","Mike Fort","USC won this game ❌"
"2:15:30","Mike Fort","Illinois lost it ✅"
"2:15:44","BIGJEFEGAMING","buy a reral pick up truck "
"2:15:49","BIGJEFEGAMING","real "
"2:15:55","The Lost And Unfounds","Brady was no a seventh string QB bro"
"2:16:03","Rob Brooks","USC Class of 2007 Baby!"
"2:16:05","The Lost And Unfounds","Not"
"2:16:07","scottintrabartolo","Feel sad for Illi . USC unstoppable "
"2:16:16","Mike Fort","Yeah there were 6 QB on roster when he got there."
"2:16:29","eric bassham","7th round"
"2:16:36","BIGJEFEGAMING","look at brady now thou "
"2:16:41","Mike Fort","He was 4th on the Pats when he got drafted."
"2:17:04","OHIO STATE","go bucks "
"2:17:07","Mike Fort","Honestly couldn't name the other 2 between Bledsoe and him."
"2:17:17","Eric Jackson","It is a Lincoln Riley coached team, USC will lose this late into the game -- bet on it and side with the dominate history of Lincoln."
"2:17:25","OHIO STATE","smoking on that husky pacc 🐺 💨💨💨"
"2:17:38","Mike Fort","Michigan was also the ONLY D-1 school to offer Brady a scholarship too."
"2:17:46","GRANDPAWS MEXICANDEEZ","📢SHOUTOUT ERIC LEGRAND - RUTGERS COLLEGE ** CURTIS WILLIAMS - WASHINGTON COLLEGE ** #🏈Dangerous#🏀safe"
"2:17:54","The Lost And Unfounds","That’s crazy I just wiki’d it"
"2:17:54","GRANDPAWS MEXICANDEEZ","FREE #7 JULIO URIAS..He only had a couple eye surgeries wow. #SLOTH#HEYOUUUUUUUGUUUUUUUUUYYYSSSSS #OnoBbq #LifesGoodSpokesman #WingmanRiza#GoDODGERS"
"2:18:00","GRANDPAWS MEXICANDEEZ","👏🏾📢 YOUTUBE---"" A KID MAULED BY 👋🏾 PITBULLS ( HE BARELY SURVIVED ) 🐶🐶😱🐶🐶🐶 His channel is "" BABY JJs JOURNEY AND THE RODRIGUEZ FAMILY """
"2:18:12","Mike Fort","what a catch"
"2:18:13","Mito","Wow..."
"2:18:17","Kowboykool","Crazy "
"2:18:17","cosmiccube","wtf'"
"2:18:18","OHIO STATE","too much time damn "
"2:18:20","BIGJEFEGAMING","LETS FUCKINNNN GOOOOOOO"
"2:18:20","Graduationdabest","They left way too much time "
"2:18:23","Zack Young","Too easyyyy lemon"
"2:18:24","Mike Fort","It was a semi-pushoff but it worked."
"2:18:25","fishinwitkarlproductions","DAMNNNN"
"2:18:25","SeaSawlt","oh my"
"2:18:26","Cuong Truong","great catch"
"2:18:26","cosmiccube","too much time left"
"2:18:33","Marquis Wallace","this is why i love college football "
"2:18:36","Mito","I am so glad I am not the guy who fumbled in the inzone "
"2:18:37","Yéyo","🍋🍋🍋"
"2:18:40","el mero mero","everyone is quiet is wonder why"
"2:18:40","GRANDPAWS MEXICANDEEZ","NO PONER🔥🔥🔥🔥🔥POR QUE ----->ZAID GARCIA..""👏🏾🔊YOUTUBE - ZAID GARCIA BURN"".......ZAID G 217 canal.,.,.,.,.,."
"2:18:47","OHIO STATE","dot after dot after dot after dot "
"2:18:47","Zack Young","no push off sick play"
"2:18:47","Graduationdabest","He’s unstoppable "
"2:18:49","D Cash","🔥🔥🔥"
"2:18:50","DoKewl","USC retarded"
"2:18:52","timothy couto","f illini heck they lose +7"
"2:18:53","GRANDPAWS MEXICANDEEZ","👏🏾ADAN OLMOS GARCIA.....🔥victim like his nephew Zaid Garcia.....He has a show about him coming out called FALLOUT Season 2 December 17 #CHECK IT OUT #Damn baby momma said lates after🔥#scandalosito"
"2:07:56","Braxton Fast","#1 defense in the nation it was all planned baby "
"2:07:59","Mike Fort","Nah that doesn't change my opinion of their defense."
"2:08:07","OHIO STATE","college football is too unpredictable man 🤣🤣"
"2:08:10","rcb","Lose on!"
"2:08:11","eric bassham","USC will lose this game as illi will still have enough time to score again"
"2:08:13","SeaSawlt","how tf that Illinois player not scoop that ball?"
"2:08:15","The Lost And Unfounds","Don’t doze off to Big noon kickoff, Gus will wake you up."
"2:08:22","Mike Fort","In 2021 USC's defense was dog shit but they stayed in games because they forced a shit ton of turnovers like that."
"2:08:38","el mero mero","cause ill sucks"
"2:08:43","Braxton Fast","Best defense is USC😤"
"2:08:50","Mike Fort","Or maybe that was 2022"
"2:08:52","rcb","SC will find a way....Lose On!"
"2:08:53","Mike Fort","It was one of those 2 years."
"2:09:20","nightwolf9496","GO BUCKEYES"
"2:09:21","eric bassham","one play does not change the fact that USC defense sucks goat balls"
"2:09:39","Braxton Fast","Nah USC has goated defense."
"2:09:45","el mero mero","womp womp"
"2:09:46","Myles Bankhead","“Who wants it?!” … “passion!” Gus is the man "
"2:09:51","Myke Deuce","We have to run the clock out. otherwise Illinois still wins. Can't Trust that defense to stop SHIT...that last play was luck. Notre Dame is going to tear our assholes open"
"2:09:52","Braxton Fast","Clutched up "
"2:09:56","OHIO STATE","maiava is him you can see it "
"2:10:04","Mike Fort","Go Rangers."
"2:10:18","OHIO STATE","1st or 2nd rounder soon "
"2:10:40","Mike Fort","Please. That's an insurance salesman if I've ever seen one."
"2:10:57","el mero mero","2 goal line fumbles yea usc is ass definitely🤣🤣🤣 "
"2:11:26","OHIO STATE","nah altmeyer is "
"2:11:36","timothy couto","illinois is terrible all thumbs"
"2:12:07","timothy couto","i wud toss him out of college"
"2:12:15","cosmiccube","kill some time man wtf"
"2:12:16","The Lost And Unfounds","Wasn’t Kurt Warner an insurance salesman?"
"2:12:22","scottintrabartolo","USC looks strong"
"2:12:26","Mike Fort","Grocery bagger"
"2:12:57","SeaSawlt","jake bates sold bricks"
"2:13:11","OHIO STATE","maiava is HiM"
"2:13:11","scottintrabartolo","Too easy"
"2:13:18","eric bassham","USC is strong in odor only... the stink like ass"
"2:13:27","Heather Whatever","Come on "
"2:13:44","BIGJEFEGAMING","BRUH GOING TOO THE NFL "
"2:13:47","scottintrabartolo","Unbelievable "
"2:13:48","eric bassham","block in back"
"2:13:49","cosmiccube","kill some time man"
"2:13:51","OHIO STATE","dot after dot after dot "
"2:13:52","Mike Fort","Some people have a funny start. Bryce Purdy was a Mr. Irrelevant who started a Super Bowl. Shit, Brady was a 7th string QB when he got to Michigan."
"2:14:03","eric bassham","no flag"
"2:14:16","Mike Fort","nice spins"
"2:14:19","BIGJEFEGAMING","lets gooooo"
"2:14:21","OHIO STATE","yeaaaaaaaa"
"2:14:30","Kowboykool","Illinois ahh if they choke this "
"2:06:53","SeaSawlt","oh***"
"2:06:53","el mero mero","assss0"
"2:06:53","OHIO STATE","yesssss😂😂😂😂😂😂"
"2:06:54","Moin Khan","🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸"
"2:06:54","BIGJEFEGAMING","LETSSSS GOOOOOOOOOOO"
"2:06:54","Loopah","lmao"
"2:06:55","Kowboykool","Smh "
